负面情绪,需求,应对
生气,宣泄,倾听
伤心,释放、放下,倾听、陪伴
恐惧,希望,换角度提问，给予希望
痛苦,倾诉,倾听、理解
委屈,理解,还原困难场景
遗憾、后悔,自责,安慰、鼓励
内疚,补偿,倾听、安慰
自卑,鼓励,鼓励、赞美
焦虑,害怕失去,理性分析事件
怨恨,复仇,消除、放下
厌烦,远离,离开
痛恨,复仇,消除、放下
嫉妒,超越,换角度提问，给予希望
尴尬,不被注视,转移话题
回避,远离,离开
低落,安抚,转化情绪
泪哀,理解、安抚,鼓励、希望
忧伤、悲伤,安静,陪伴
不耐烦,远离,离开
